ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalues,rank,leading_edge,core_enrichment,celltype
cluster66,cluster66,206,-0.494349468441191,-1.67078248276729,1.6453480862593e-05,0.000522398017387329,0.000441646065259077,2274,"tags=27%, list=15%, signal=23%",TSC2/THBS2/CTDSPL/ARVCF/GGA1/NTN1/NEDD4/AP4E1/CC2D1A/CDH1/TRPM6/FAM126A/CD38/IL17D/COLQ/EXOC4/LYPD6B/SULF2/TRAPPC10/TRAPPC13/DAB2IP/PKP2/FBN1/ETNPPL/PBX3/ERBB3/SPG11/NRXN1/MBNL1/DCHS2/COL9A1/ADHFE1/NLGN3/PLXNC1/RICTOR/TOX3/PPP2R2B/IGF1/ITGA9/GRIN2C/GSG1L/DLG2/MAG/LRRTM4/CSGALNACT1/DTNA/KCNIP1/ADAMTS9-AS2/NTM/PARD3/PLXDC2/RPS6KA2/NXPH1/LHFPL3/ERBB4,Ex3b
cluster113,cluster113,88,0.56541021757947,1.82016087068254,2.52080080917654e-05,0.000640283405530842,0.000541308805338963,2835,"tags=44%, list=18%, signal=36%",NDUFA4/CCK/VDAC3/NDUFA1/NDUFS5/VDAC1/UQCRB/COX6B1/UQCRC1/COX7C/COA3/NDUFB5/PHB2/COX6C/UQCRQ/NDUFB11/COX7A2/NDUFB1/NDUFB3/SLC30A9/UQCRFS1/NDUFB9/NNT/IDH2/ANKRD34C/VDAC2/IMMT/TOMM22/NDUFB10/GUF1/OXA1L/SCCPDH/NDUFA10/AFG3L2/CYC1/NDUFA8/ECSIT/COX7A2L/NDUFB4,Ex3b
cluster115,cluster115,152,0.484472143463109,1.69332130642574,4.76752995664733e-05,0.00100912717415702,0.000853136939610575,2798,"tags=35%, list=18%, signal=29%",MDH1/PPIA/LDHB/TPI1/ENO2/MTPN/PGK1/PINK1/ALDOA/CHCHD10/CFL1/PRDX5/SLC25A3/HINT1/UBE2QL1/LDHA/TXN/SOD1/LYRM4/PPA2/NDUFAB1/PRDX3/GLRX5/NT5C3B/SNHG6/OAT/ACO2/GRHPR/HTRA2/TARS2/TMEM74B/SDHA/PPT1/ZFAS1/LYRM7/FH/GUK1/IDH3A/PGD/FXN/MTPAP/DNAJC4/DPY19L2/NDUFAF5/ATAD3A/PDE12/DNAJA3/SOD2/MPV17/FDX1/SHMT2/SPR/PNPLA8,Ex3b
cluster88,cluster88,61,0.597554958223398,1.83264706826462,0.00013192278375488,0.00239345621955283,0.00202347728466132,2422,"tags=39%, list=16%, signal=33%",GABRA1/CPLX1/THY1/CADM3/GFRA2/TMEM127/SPTAN1/NAPEPLD/NEGR1/RFK/SLC25A32/B9D1/WIPI2/ST13/PITPNA/GLT1D1/BROX/ANKRD9/ELK1/COPZ1/KCNV1/CHI3L1/CYP2U1/USP19,Ex3b
cluster13,cluster13,138,-0.479534386113649,-1.56466134663484,0.000888378336155316,0.0141030060864656,0.011922972406295,1594,"tags=21%, list=10%, signal=19%",NOTCH1/RECK/ZNF439/SHC3/CCDC144CP/KANTR/GFAP/DIRC3/ADAM12/COL24A1/FLT3/NAV1/RALGPS2/TNR/DENND4A/VWC2L/RAB3IP/MAGI1/ADAMTSL3/AGAP1/IGSF11/HEPACAM/HPCAL1/STARD13/TIAM1/KIT/RGS20/CDH20/GAB2,Ex3b
cluster104,cluster104,93,0.481645189984941,1.57357954796901,0.00193191446830185,0.0272614597193705,0.0230474006744782,2305,"tags=23%, list=15%, signal=19%",GABRG3/CDK5R2/MAT2B/OPN3/LYSMD4/MLLT11/ZNFX1/STARD7/MLF2/POMP/PSMG3/APEH/ASB8/KCNN1/FN3KRP/PPM1K/CHMP2A/GSTA4/SRM/TOMM34/NPEPL1,Ex3b
cluster55,cluster55,68,-0.558170634698939,-1.63546287953815,0.00301264768687171,0.0357528941474835,0.0302262345880093,2692,"tags=41%, list=18%, signal=34%",DENND1A/KSR1/TNS2/BEST3/SLC26A3/CHIC2/AGMO/GNE/BLZF1/VWC2/PPM1H/SLC35D2/CHADL/PLEKHA7/LINC00461/RTKN/PLSCR4/TESK2/FAM53C/LGI4/FAM110B/DTNB/LINC00299/KIF13B/MIR99AHG/ZIC1/SRGAP2/CREB5,Ex3b
cluster80,cluster80,131,0.433247426948748,1.49189924281797,0.00309670736710487,0.0357528941474835,0.0302262345880093,2558,"tags=31%, list=17%, signal=26%",PDP1/PEBP1/ATP6V1E1/PRNP/UQCRH/ATP2A2/TOMM20/COX5B/ATP6V1C1/ATP6V1B2/COX7A1/UQCR10/TRBC2/ARMCX3/COX7B/ATP6V1A/COX17/ARCN1/RSAD1/SAR1B/PTGES2/CISD1/NDUFB7/CMPK1/HK1/SNHG7/SLC9B2/PDIA3/BOLA3/HCCS/PPTC7/ATP6V0D1/HSP90B1/NDUFB6/SAMM50/TECR/TIMM17B/BPNT1/OPA1/TMEM33,Ex3b
cluster33,cluster33,158,0.405022237513938,1.42505914634198,0.00458017035818884,0.0484734696241652,0.0409804716259001,2103,"tags=21%, list=14%, signal=18%",SCN1B/RGS4/SYT13/CEND1/GNB5/SGCG/CLCN4/CD200/ENPP5/CRYM/SNX10/KCNIP3/SLC45A4/CHST1/AACS/CARD19/PIP5K1C/ROGDI/KCNMA1/SLITRK1/DPM3/CHMP2B/TTC1/GLB1L3/TAX1BP1/PAQR9/CHRM1/KLHDC9/DESI1/CPLX2/ARHGDIG/SNX8/IGDCC3,Ex3b
cluster9,cluster9,211,-0.525836398428544,-1.75765917548101,7.46423792728976e-07,9.479582167658e-05,9.03565643829814e-05,3282,"tags=47%, list=21%, signal=38%",IGF2BP2/TTC9/CAPRIN1/SRSF5/PRIMA1/RPL36AL/PCBP1/PAK1IP1/PURA/RPF2/CCDC137/RC3H1/SF3B2/DDX54/NOC3L/RPL22/NSA2/HEXIM1/RSL1D1/RPL19/RPL18A/RPL8/RPL32/RPS3A/RPLP1/RBMS2/RPL4/RPS14/SYNCRIP/RPS25/HNRNPM/SRSF6/RPL10A/U2SURP/TRA2B/FZR1/RPSA/RPL28/DDX18/RPL13A/RPS7/NPM1/RPS2/RPS17/RPL12/CUL3/HNRNPU/NR2C2/RPL10/ILF3/RPL27A/KNOP1/MPHOSPH10/GNL3/RPS11/RPL31/DDX27/RPL15/PRPF8/RPS13/RPS15/ZFR/SNRNP70/RPS18/RPL30/RPS24/RBM28/RPL36/RPS16/RPS23/EIF2AK2/RPS6/RPS4X/RPS15A/HP1BP3/RPL18/RPL9/RPL3/RPS3/RPL24/RBM39/RPS8/RPL7/RPL14/RPL27/HNRNPR/RPL7A/RPL37A/RBMX/RPL11/RPL13/RPL35/HNRNPA3/NCL/RPL21/RPS19/RPLP2/HNRNPA2B1/TRA2A/LARP7,Ex3a
cluster59,cluster59,178,-0.451204514380946,-1.57689090542731,0.000245319429918124,0.0311555675996017,0.0296965625690361,3042,"tags=35%, list=20%, signal=29%",MAP6D1/NKAPP1/HERC2P3/SMARCD2/BCOR/HDAC2/HDAC3/SIN3B/CIC/SOX10/MCRS1/GATAD2A/ASH2L/KAT5/PAX6/ZNF608/L3MBTL2/ARID2/MTA1/BRD3/BPTF/BRMS1L/MGA/ZNF609/HDAC1/CDK8/KDM6A/SS18L1/MBD2/ZZZ3/EP300/FOXK2/RBBP4/NR2C1/BCL9/SMG7/DPF1/MBD3/PHF12/TBL1X/RBBP7/KDM2B/SUDS3/TMEM163/RNU6-6P/SSBP3/ELF2/SMARCC1/KMT2C/NFIX/YY1/FAT2/CSNK2A1/NFIC/NCOR1/SLC24A2/SOX6/KAT2B/FSTL5/SMARCA4/ST18/CHD7/NFIA,Ex2
