Symbol,lung_tsne2d_hier_clust,brain_tsne2d_hier_clust,pbmc_tsne2d_hier_clust,liver_tsne2d_hier_clust,colon_tsne2d_hier_clust,gut_tsne2d_hier_clust,heart_tsne2d_hier_clust,kidney_tsne2d_hier_clust,retina_tsne2d_hier_clust
IL19,104,76,38,64,128,69,44,26,4
IL1A,22,24,115,135,69,146,61,117,105
IL1B,76,2,84,94,47,47,50,142,135
IL1F10,52,51,67,57,53,12,36,114,131
IL1R1,116,66,25,95,134,74,56,13,43
IL1R2,115,86,27,97,126,44,101,17,40
IL1RAP,103,78,37,131,121,73,111,31,39
IL1RAPL1,64,45,74,60,89,16,80,77,142
IL1RAPL2,59,42,114,117,58,149,3,138,113
IL1RL1,103,77,37,131,127,72,111,1,60
IL1RL2,34,2,86,93,47,142,63,139,12
IL1RN,49,74,21,132,130,74,58,13,42
IL2,77,31,115,78,121,23,49,15,40
IL20,117,85,39,104,135,61,101,13,40
IL20RA,108,20,46,111,133,47,56,15,8
IL20RB,105,123,37,9,117,78,123,31,60
IL21,65,21,82,135,71,5,47,83,2
IL21R,58,3,118,68,53,143,39,114,129
IL21R-AS1,50,108,21,57,30,94,2,40,35
IL22,108,79,84,89,135,56,65,139,7
IL22RA1,105,123,37,133,123,75,113,31,55
IL22RA2,114,86,43,101,135,41,57,14,42
IL23A,97,85,80,109,134,39,47,17,10
IL23R,69,45,65,82,83,8,2,78,140
IL24,57,37,59,65,62,141,34,57,116
IL25,115,85,23,99,126,65,117,10,41
IL26,60,98,111,115,43,25,17,93,108
IL27,93,22,34,104,71,72,56,9,42
IL27RA,9,118,11,6,111,87,130,21,90
IL2RA,104,125,36,33,119,76,126,27,56
IL2RB,62,2,78,91,48,145,63,140,12
IL2RG,109,66,87,81,121,47,64,15,48
IL3,94,49,39,90,48,55,62,17,10
IL31,114,67,45,97,71,66,57,13,42
IL31RA,117,66,46,101,135,45,54,125,7
IL32,97,22,43,107,71,46,56,16,9
IL33,59,37,80,91,53,142,38,55,135
IL34,35,15,66,20,63,121,29,71,127
IL36A,36,1,80,83,46,136,2,139,143
IL36B,112,26,111,42,38,22,17,92,122
IL36G,49,74,21,33,130,41,119,125,41
IL36RN,49,7,46,109,132,46,88,70,46
IL37,37,7,46,133,132,132,53,125,46
IL3RA,103,79,34,131,129,78,113,2,39
IL4,108,1,80,90,80,51,44,138,15
IL4I1,78,88,52,64,97,40,26,86,4
IL4R,113,67,25,108,124,43,102,17,40
IL5,108,76,83,104,133,28,54,102,20
IL5RA,3,110,9,15,109,80,132,19,91
IL6,65,49,90,93,47,142,30,129,127
IL6R,32,3,54,92,54,126,32,135,127
IL6ST,105,78,20,131,121,73,111,33,55
IL7,52,49,80,83,81,16,32,142,142
IL7R,4,65,7,49,7,101,77,133,30
IL9R,105,77,37,33,127,76,113,1,56
ILDR1,69,37,60,23,91,18,34,116,141
ILDR2,96,68,39,103,75,57,65,89,9
ILF2,5,9,4,52,9,91,100,104,34
ILF3,5,9,4,51,8,90,100,104,34
ILK,90,91,29,136,85,33,118,99,22
ILKAP,57,41,60,57,34,137,87,137,110
ILRUN,69,40,60,129,32,9,1,73,115
ILVBL,99,81,32,137,120,68,107,7,37
IMMP1L,87,113,31,55,103,134,94,126,52
IMMP2L,87,113,28,55,103,135,94,127,52
IMMT,87,113,31,55,103,134,94,126,52
IMP3,48,65,97,49,5,101,78,42,31
IMP4,2,11,6,48,10,94,99,105,35
IMPA1,88,89,50,63,96,30,12,96,27
IMPA2,93,84,33,137,77,60,120,5,45
IMPACT,34,49,77,87,53,19,63,116,135
IMPDH1,78,91,48,136,101,7,24,79,145
IMPDH2,111,92,101,123,39,105,140,133,123
IMPG1,56,3,125,119,41,28,35,137,119
INA,20,17,118,23,64,130,87,52,106
INAVA,61,93,114,114,41,147,22,119,105
INCA1,12,56,2,70,18,118,145,37,62
INCENP,50,72,103,121,3,105,141,128,75
INE1,42,39,114,23,1,10,8,77,139
INF2,106,78,20,1,123,74,112,2,53
ING1,39,53,94,76,12,110,69,46,77
ING2,39,60,94,76,12,110,69,46,77
ING3,39,53,94,76,12,110,67,46,77
ING4,42,54,99,72,16,113,142,49,79
ING5,42,53,93,72,26,111,66,46,63
INHA,79,48,81,67,100,34,46,89,10
INHBA,101,81,34,99,128,64,116,1,38
INHBB,117,74,25,111,134,43,57,33,43
INHBE,3,124,20,1,122,72,113,34,59
INHCAP,58,45,78,73,32,1,,89,141
INIP,31,96,123,113,69,130,135,121,101
INKA1,20,19,54,91,64,126,89,52,99
INKA2,54,35,115,127,58,140,85,136,116
INMT,37,27,54,68,55,15,39,135,93
INO80,43,54,98,72,15,103,67,40,78
INO80B,39,60,95,46,12,98,75,46,73
INO80B-WBP1,57,41,63,29,56,8,7,111,125
INO80C,44,54,99,73,67,112,142,49,79
INO80D,29,73,99,73,67,112,138,121,79
INO80E,42,71,99,72,27,114,137,48,63
INPP1,36,50,90,93,55,48,32,51,128
INPP4A,71,35,63,19,57,3,51,110,140
INPP4B,52,3,119,66,50,143,81,113,92
INPP5A,32,52,77,62,50,19,52,116,144
INPP5B,64,52,82,85,87,19,49,143,13
INPP5D,110,12,88,80,46,121,83,123,47
INPP5E,15,55,24,79,20,119,146,71,61
INPP5F,99,87,35,33,129,66,111,11,41
INPP5J,20,19,56,134,23,125,82,65,100
INPP5K,64,30,81,64,100,52,46,78,14
INPPL1,79,51,83,67,86,136,48,81,144
INS,85,115,30,55,104,135,94,130,52
INSC,27,15,54,92,21,122,79,72,70
INSIG1,94,82,47,137,77,39,119,84,1
INSIG2,104,127,32,4,105,63,125,4,54
INSL3,57,39,89,58,51,16,39,140,137
INSL4,38,67,23,110,134,46,53,12,8
INSL5,3,124,16,10,110,89,124,34,59
INSL6,109,1,40,93,48,56,49,124,10
INSM1,22,26,128,124,69,140,82,58,107
INSM2,31,42,62,28,91,10,1,136,24
INSR,3,124,19,5,110,88,112,34,59
INSRR,113,74,25,106,72,43,103,13,7
INSYN1,16,58,3,78,17,118,146,67,65
INSYN2A,53,5,66,68,55,128,93,52,99
INSYN2B,65,98,114,114,,31,37,82,112
INTS1,99,76,34,106,128,75,109,7,37
INTS10,44,96,105,112,40,107,133,121,83
INTS11,25,71,124,135,24,109,60,47,81
INTS12,97,21,43,93,84,49,56,89,8
INTS13,30,96,122,112,40,108,133,121,83
INTS14,21,34,72,65,53,127,61,60,107
INTS2,104,77,36,95,119,78,108,3,56
INTS3,112,97,121,113,42,108,25,122,103
INTS4,100,86,27,95,129,43,111,10,40
INTS4P2,77,49,84,88,84,5,63,88,10
INTS5,94,82,38,82,97,17,26,95,4
INTS6,30,96,105,41,2,107,133,121,82
INTS6-AS1,55,96,96,129,99,97,10,118,93
INTS6L,29,96,105,112,70,107,133,121,101
INTS7,99,76,35,133,127,41,106,8,56
INTS8,94,23,38,87,76,55,59,84,4
INTS9,43,72,98,41,15,103,142,41,78
INTU,82,42,76,37,89,29,11,74,139
INVS,64,46,63,82,87,2,51,115,146
IP6K1,113,68,38,107,71,53,56,16,9
IP6K2,63,35,65,84,50,14,40,114,131
IP6K3,20,5,55,58,63,126,92,52,100
IPCEF1,20,5,66,69,63,128,28,54,125
IPMK,56,27,117,30,56,139,34,55,93
IPO11,98,125,18,33,119,76,110,4,57
IPO13,104,77,36,133,127,75,107,3,56
IPO4,111,107,49,34,37,23,114,131,119
IPO5,111,107,101,40,37,100,114,131,121
IPO7,90,107,49,38,37,20,114,131,120
IPO8,78,33,81,64,79,16,46,110,143
IPO9,90,91,48,136,85,30,120,97,21
IPP,51,36,127,28,61,144,3,53,93
IPPK,7,109,10,13,107,82,149,25,89
IPW,21,93,63,128,91,15,,112,113
IQCA1L,112,106,125,122,38,20,18,92,122
IQCB1,115,84,23,137,125,61,116,87,5
IQCC,19,19,55,68,65,129,81,50,100
IQCD,23,29,123,124,70,149,114,54,102
IQCE,26,19,55,65,65,125,89,64,66
IQCF1,113,18,46,94,72,46,64,13,46
IQCF2,56,51,127,127,62,146,34,114,107
IQCF3,77,74,80,105,74,49,54,16,16
IQCF5,51,71,91,19,93,138,33,56,129
IQCG,65,45,52,89,99,6,42,76,146
IQCH,52,52,109,32,86,1,52,78,111
IQCJ,63,3,,19,47,60,41,107,143
IQCJ-SCHIP1,57,59,82,29,31,100,146,41,61
IQCK,12,71,93,94,27,106,81,49,72
IQCM,74,96,121,115,36,28,23,93,124
IQCN,26,69,55,69,65,123,72,65,66
IQGAP1,80,106,49,63,95,25,21,132,117
IQGAP2,91,68,42,99,71,35,56,16,2
IQGAP3,33,6,86,107,47,142,47,50,128
IQSEC1,32,2,91,94,54,132,63,135,125
IQSEC2,77,52,79,93,83,136,63,139,135
IQSEC3,88,28,,24,44,21,8,44,139
IQUB,12,55,3,80,17,119,84,38,65
IRAG1,75,31,41,105,85,52,91,16,11
IRAG2,73,39,75,30,34,8,9,73,138
IRAK1,91,68,34,95,73,42,117,16,42
IRAK1BP1,20,17,128,125,61,129,86,53,106
IRAK2,97,2,39,87,47,46,48,139,11
IRAK3,110,50,84,86,47,47,42,15,10
IRAK4,79,36,82,21,52,47,43,142,12
IREB2,66,106,109,123,38,29,18,92,118
IRF1,42,54,99,72,16,113,67,49,79
IRF1-AS1,76,33,39,103,84,62,54,87,2
IRF2,50,92,101,122,39,148,140,132,121
IRF2BP1,44,71,105,73,16,114,137,49,81
IRF2BP2,42,53,99,74,16,114,67,46,79
IRF2BPL,50,96,112,114,42,25,25,122,126
IRF3,63,3,91,91,52,126,38,55,134
IRF4,41,59,94,76,12,111,69,46,77
IRF5,54,25,126,135,59,130,60,117,107
IRF6,24,71,123,115,70,130,134,120,107
IRF7,68,101,70,130,32,139,14,75,138
IRF8,29,54,100,73,67,114,137,48,81
IRF9,24,71,124,74,24,109,135,61,80
IRGC,95,22,41,88,78,54,59,16,2
IRGM,71,46,78,58,90,13,43,112,137
IRGQ,78,88,84,99,88,52,48,82,144
IRS1,32,12,90,81,46,122,90,50,99
IRS2,57,37,91,91,51,143,29,113,133
IRS4,93,82,33,98,77,36,116,84,1
IRX1,57,38,61,16,31,13,35,116,124
IRX2,23,26,128,124,69,146,22,117,96
IRX3,24,5,114,26,57,8,14,55,115
IRX4,54,24,119,58,60,139,87,60,106
IRX5,77,45,65,61,86,34,46,77,18
IRX6,28,70,56,89,25,124,89,69,68
ISCA1,95,30,77,61,80,18,46,78,18
ISCA2,75,47,82,136,80,5,26,79,13
ISCU,57,44,68,32,91,2,37,111,137
ISG15,85,108,30,39,106,100,114,131,49
ISG20,110,68,40,90,133,45,65,88,9
ISG20L2,47,64,102,45,5,101,78,106,32
ISL1,42,53,1,69,26,115,136,47,63
ISL2,42,53,99,69,26,115,66,47,63
ISLR,3,116,11,6,111,87,127,21,90
ISLR2,97,87,26,108,74,41,106,9,38
ISM1,61,96,114,117,32,100,8,73,117
ISM2,114,68,83,67,71,53,56,13,6
ISOC1,88,43,81,62,96,1,11,98,27
ISOC2,92,91,48,136,85,37,120,85,22
IST1,95,33,41,103,76,52,54,82,17
ISX,20,69,128,134,69,128,60,63,98
ISY1,45,62,95,47,11,96,74,43,28
ISY1-RAB43,44,72,107,41,2,107,138,128,79
ISYNA1,89,91,49,40,97,40,24,97,22
ITCH,116,66,25,108,135,131,104,129,47
ITFG1,85,115,31,55,104,133,94,127,52
ITFG2,110,6,88,92,46,132,64,123,127
ITGA1,103,77,35,2,127,68,108,2,56
ITGA10,82,42,108,32,33,33,13,83,138
ITGA11,115,96,79,61,31,20,35,91,120
ITGA2,7,116,11,14,111,87,132,19,90
ITGA2B,113,20,86,103,133,41,56,17,2
ITGA3,115,86,27,33,129,67,108,9,38
ITGA4,4,11,31,53,104,93,96,106,30
ITGA5,9,118,14,6,111,89,129,28,86
ITGA6,6,110,8,11,109,80,149,23,91
ITGA7,6,111,8,11,108,79,148,22,87
ITGA8,3,116,13,6,110,87,122,19,90
ITGA9,49,66,46,99,132,41,54,125,7
ITGAD,115,87,23,99,129,68,116,11,38
ITGAE,58,39,119,126,56,15,31,109,109
ITGAL,58,51,78,65,47,17,44,73,15
ITGAM,9,117,14,6,116,82,130,21,84
ITGAV,3,116,9,15,109,87,131,19,91
ITGAX,96,104,26,109,47,41,54,13,44
ITGB1,7,109,9,11,107,82,149,23,89
ITGB1BP1,108,20,87,109,133,55,55,88,9
ITGB1BP2,56,38,76,17,91,27,5,109,105
ITGB2,120,74,21,31,121,74,111,12,53
ITGB3,118,66,38,107,133,45,57,15,9
ITGB3BP,24,69,123,113,24,109,136,62,80
ITGB4,49,13,24,131,20,73,104,71,69
ITGB5,3,119,19,5,110,88,122,36,59
ITGB6,65,46,82,84,86,3,37,143,140
ITGB7,97,21,86,94,133,51,57,89,6
ITGB8,101,87,23,99,125,68,106,11,44
ITGBL1,16,35,118,128,91,8,51,124,137
ITIH1,108,68,38,103,131,57,59,15,3
ITIH2,3,119,19,10,110,89,123,34,58
ITIH3,75,21,41,82,80,35,45,89,3
ITIH4,118,68,38,103,47,57,59,17,4
ITIH5,59,38,114,28,58,139,5,109,108
ITIH6,16,13,54,91,22,47,79,71,99
ITK,59,37,77,68,83,126,33,109,143
ITLN1,116,84,44,102,73,57,116,9,44
ITLN2,49,74,21,137,130,70,58,35,40
ITM2A,99,79,26,97,129,41,108,11,38
ITM2B,7,111,10,15,107,82,131,23,91
ITM2C,9,117,11,14,111,87,131,23,89
ITPA,93,81,33,137,77,65,119,5,45
ITPK1,79,48,80,127,86,13,41,78,144
ITPKA,69,45,77,82,86,3,30,76,142
ITPKB,20,17,67,135,69,128,90,54,96
ITPKC,32,50,80,84,53,136,39,135,132
ITPR1,104,125,18,3,119,76,112,27,56
ITPR2,102,121,17,8,115,69,121,29,57
ITPR3,11,120,15,7,112,69,128,29,57
ITPRID1,54,51,,128,92,17,,143,138
ITPRID2,33,2,84,107,47,48,27,114,135
ITPRIP,9,118,14,5,116,89,129,21,86
ITPRIPL1,106,122,20,2,123,75,123,27,60
ITPRIPL2,103,125,37,133,118,76,110,27,60
ITSN1,109,12,46,108,131,132,84,123,47
ITSN2,52,5,90,81,53,125,71,57,100
IVD,85,115,30,39,106,59,139,85,50
IVL,49,75,20,8,130,73,111,36,55
IVNS1ABP,111,108,101,120,37,99,140,133,121
IWS1,46,63,102,42,3,106,142,41,76
IYD,22,93,120,119,41,149,22,118,105
IZUMO1,118,86,46,111,134,46,57,14,43
IZUMO2,52,127,60,19,28,79,59,34,41
IZUMO4,76,82,27,62,101,63,119,79,52
JADE1,31,93,122,117,60,147,22,120,101
JADE2,25,71,100,73,68,109,136,62,81
JADE3,44,54,98,72,67,112,142,49,79
JAG1,115,74,22,133,126,41,105,13,40
JAG2,6,110,9,11,109,80,148,19,87
JAGN1,6,111,8,11,108,79,147,22,87
JAK1,102,119,17,1,116,73,122,27,58
JAK2,117,66,46,80,132,131,104,124,48
JAK3,58,52,77,135,85,126,48,112,10
JAKMIP1,51,27,55,65,66,143,82,54,92
JAKMIP2,28,69,56,113,24,123,81,65,66
JAKMIP3,88,45,126,24,92,65,34,85,33
JAM2,61,6,64,128,82,30,43,123,15
JAM3,116,87,23,100,126,66,102,13,41
JAML,108,68,77,111,84,123,57,32,56
JARID2,43,73,107,41,67,107,138,121,79
JAZF1,42,54,99,72,16,113,67,49,79
JCAD,32,3,91,83,47,136,79,135,128
JCHAIN,49,66,21,98,132,75,54,33,43
JDP2,23,25,124,73,68,127,60,120,97
JHY,73,40,61,27,32,2,7,112,113
JKAMP,95,23,45,104,74,60,59,5,5
JMJD1C,44,73,107,113,67,107,138,121,83
JMJD4,38,52,82,84,82,136,48,135,134
JMJD6,45,61,95,46,5,96,74,43,28
JMJD7,21,29,119,30,59,139,3,117,115
JMJD7-PLA2G4B,38,68,46,103,135,45,53,15,9
JMJD8,107,77,37,4,119,71,108,26,56
JMY,57,40,62,61,92,14,41,136,113
JOSD1,15,13,57,81,17,120,84,67,71
JOSD2,118,33,41,89,74,57,44,17,3
JPH1,7,111,8,15,108,82,147,22,88
JPH2,31,26,114,112,42,26,61,119,103
JPH3,22,26,122,113,31,107,72,117,97
JPH4,51,37,59,124,53,127,72,53,96
JPT1,81,105,50,62,96,31,12,98,19
JPT2,66,102,70,36,28,24,15,93,118
JPX,73,53,73,30,90,147,86,112,109
JRK,17,70,1,73,17,115,73,67,64
JRKL,23,101,122,117,40,28,5,59,121
JSRP1,113,21,38,107,71,44,57,16,2
JTB,101,83,44,98,125,62,106,9,42
JUN,41,59,93,75,14,97,69,45,72
JUNB,29,71,56,77,27,114,136,48,81
JUND,29,71,100,77,27,113,136,46,81
JUP,101,84,32,4,128,65,117,5,45
KAAG1,32,49,87,83,82,50,41,139,143
KALRN,52,50,91,83,47,136,27,142,133
KANK1,59,29,116,127,58,140,82,136,104
KANK2,12,56,2,78,18,118,146,39,62
KANK3,57,40,54,130,91,6,34,141,133
KANK4,110,4,54,56,45,142,88,135,134
KANSL1,41,53,93,76,14,111,69,45,72
KANSL1L,14,24,123,124,69,40,70,63,97
KANSL2,39,53,93,76,12,111,69,45,72
KANSL3,39,53,94,76,12,110,70,46,72
KANTR,60,13,78,16,56,109,12,130,30
KARS1,4,11,7,49,10,101,99,106,35
KASH5,107,121,19,10,117,89,132,34,58
KAT14,41,59,92,76,14,98,69,45,72
KAT2A,39,60,92,76,14,98,69,45,72
KAT2B,40,59,92,75,14,97,70,44,72
KAT5,41,59,93,76,14,97,66,45,72
KAT6A,44,73,107,112,2,107,138,128,79
KAT6B,29,73,99,112,67,107,138,120,83
KAT7,42,54,98,72,16,103,142,49,79
KAT8,39,60,94,76,16,110,67,46,77
KATNA1,57,35,62,129,56,141,31,136,116
KATNAL1,52,4,90,19,53,137,93,60,107
KATNAL2,74,99,70,116,28,29,87,94,109
KATNB1,58,28,127,126,56,140,87,137,114
KATNBL1,17,70,1,74,17,117,72,68,64
KATNIP,53,27,62,27,56,13,35,113,105
KAZALD1,35,3,55,58,64,143,33,52,94
KAZN,20,17,124,127,66,129,86,54,96
KBTBD11,57,42,115,128,90,149,4,142,118
KBTBD13,61,100,109,26,28,22,8,83,118
KBTBD2,70,41,59,58,56,15,7,114,116
KBTBD3,78,103,125,36,33,31,52,82,145
KBTBD4,54,27,127,113,62,130,3,58,104
KBTBD6,50,92,103,120,6,148,133,128,124
KBTBD7,50,92,112,122,42,107,133,128,124
KBTBD8,60,93,111,126,41,26,22,118,103
KCMF1,88,89,49,63,96,31,20,98,27
KCNA1,105,77,35,1,127,77,113,33,60
KCNA10,105,76,21,33,127,64,113,1,37
KCNA2,7,117,9,5,107,87,131,23,90
KCNA3,115,74,45,109,135,43,103,13,40
KCNA4,38,7,24,108,46,131,84,70,47
KCNA5,105,77,37,133,127,67,113,31,55
KCNA6,95,22,38,103,74,57,59,87,6
KCNAB1,79,47,81,29,99,6,40,80,18
KCNAB2,95,45,73,64,101,3,2,80,2
KCNAB3,57,35,115,57,56,15,51,113,131
KCNB1,105,77,26,106,121,72,144,34,53
KCNB2,9,118,16,10,116,71,122,21,86
KCNC1,115,91,40,133,129,66,104,12,90
KCNC2,113,108,65,104,78,28,62,,87
KCNC3,115,74,27,131,127,42,102,33,53
KCNC4,103,76,34,133,129,66,106,2,55
KCND1,29,56,122,72,2,105,86,64,74
KCND2,117,18,84,85,133,45,83,14,46
KCND3,84,89,51,32,96,31,24,89,144
KCNE1,116,86,25,101,129,66,111,9,41
KCNE2,49,74,38,104,49,76,146,36,48
KCNE3,119,75,24,131,122,73,112,36,53
KCNE4,105,79,35,131,127,74,113,2,55
KCNE5,118,22,39,67,71,61,55,13,6
KCNF1,113,20,46,96,72,44,103,12,43
KCNG1,105,77,22,96,127,75,111,2,38
KCNG2,98,76,,85,84,82,84,131,53
KCNG3,108,33,80,104,71,44,64,12,43
KCNG4,114,67,38,93,72,41,64,13,43
KCNH1,79,47,82,89,79,35,63,17,3
KCNH2,95,84,38,59,78,35,101,9,2
KCNH3,15,81,13,136,49,28,45,36,48
KCNH4,78,52,41,19,81,51,47,89,16
KCNH5,65,40,76,128,90,10,36,79,139
KCNH7,69,46,65,28,87,2,37,142,137
KCNH8,58,73,99,26,58,12,3,130,47
KCNIP1,119,66,24,106,131,74,64,35,40
KCNIP2,120,20,46,107,133,44,64,125,7
KCNIP3,33,33,91,109,49,41,83,12,13
KCNIP4,119,74,25,31,135,67,56,35,60
KCNJ1,62,49,80,103,79,17,46,140,14
KCNJ10,116,85,25,101,73,41,105,9,42
KCNJ11,103,77,35,97,127,64,103,1,56
KCNJ12,114,66,25,106,134,42,144,35,48
KCNJ15,79,74,40,111,124,41,62,3,8
KCNJ16,15,66,77,130,92,140,31,6,142
KCNJ18,78,21,41,88,80,67,65,9,144
KCNJ2,95,33,38,103,80,41,65,8,14
KCNJ3,97,22,41,88,75,44,55,17,2
KCNJ4,114,6,46,111,133,42,144,125,46
KCNJ5,75,68,40,94,72,42,64,13,8
KCNJ6,9,120,17,5,117,87,131,28,86
KCNJ8,7,111,11,5,109,80,132,23,91
KCNJ9,118,22,38,105,80,44,56,13,9
KCNK1,11,126,15,7,112,86,128,20,84
KCNK12,42,71,100,130,17,59,86,131,63
KCNK13,91,75,64,82,79,82,103,34,139
KCNK16,104,125,18,33,118,70,124,1,57
KCNK17,15,23,42,137,74,99,119,4,45
KCNK18,105,77,35,31,127,78,113,31,55
KCNK2,57,67,111,27,90,52,11,116,140
KCNK3,70,101,51,61,89,31,10,114,139
KCNK4,116,84,83,67,74,36,119,138,2
KCNK5,106,77,36,2,127,72,123,1,56
KCNK7,65,103,48,85,87,35,56,2,17
KCNK9,83,98,64,85,86,39,40,88,6
KCNMA1,75,33,41,61,82,56,65,138,144
KCNMB1,93,80,23,136,45,75,101,16,45
KCNMB2,97,32,43,110,133,56,56,89,2
KCNMB3,8,118,14,9,114,72,121,21,86
KCNMB4,108,48,27,110,39,55,57,17,1
KCNN1,68,104,125,37,34,24,14,81,24
KCNN2,74,97,76,119,31,29,60,111,125
KCNN3,116,83,39,133,73,62,101,9,42
KCNN4,8,121,17,10,117,89,124,28,58
KCNQ1,110,18,46,109,48,45,84,123,46
KCNQ1OT1,12,59,3,69,25,65,64,121,69
KCNQ2,76,21,38,67,81,34,64,77,2
KCNQ3,108,20,46,87,133,52,64,15,46
KCNQ4,65,91,63,19,99,1,45,82,20
KCNQ5,103,76,21,132,129,64,111,1,39
KCNRG,16,17,90,91,23,142,28,37,99
KCNS2,33,3,90,87,54,47,65,70,127
KCNS3,105,123,20,31,123,75,113,31,55
KCNT2,9,118,16,1,116,89,124,21,58
KCNV1,75,88,69,32,79,40,27,10,144
KCNV2,118,22,39,111,133,56,64,12,43
KCTD1,26,16,56,68,24,123,89,65,100
KCTD10,80,107,49,35,95,21,20,90,120
KCTD11,54,24,66,125,62,144,61,60,107
KCTD12,82,101,69,36,35,29,13,73,23
KCTD13,55,36,119,127,62,144,3,58,107
KCTD14,32,50,91,91,52,136,38,135,134
KCTD15,53,4,64,19,53,143,37,54,94
KCTD16,32,52,84,20,62,52,41,139,143
KCTD17,56,17,67,66,64,122,92,54,99
KCTD18,69,41,60,29,93,10,1,142,140
KCTD19,26,17,128,117,59,149,87,61,97
KCTD2,84,44,73,28,101,3,1,81,13
KCTD20,61,28,114,124,41,149,61,137,104
KCTD21,33,2,85,85,54,50,40,129,133
KCTD3,15,55,24,70,20,119,146,71,61
KCTD4,35,5,90,83,45,142,27,51,128
KCTD5,112,106,125,37,29,24,18,90,118
KCTD6,21,24,67,124,65,128,82,54,96
KCTD7,18,57,1,69,17,117,73,68,68
KCTD8,59,26,114,119,41,13,17,111,126
KCTD9,14,56,2,70,19,118,145,37,65
KCTD9P2,70,,70,24,32,3,14,78,141
KCTD9P3,67,104,,119,28,21,18,74,118
KDELR1,102,125,17,4,115,70,124,4,57
KDELR2,120,74,22,133,121,74,102,12,40
KDELR3,9,117,14,10,114,84,130,20,84
KDF1,47,64,101,45,37,104,78,133,32
KDM1A,41,59,93,75,14,97,69,45,72
KDM1B,30,73,106,115,2,107,138,121,82
KDM2A,46,72,107,41,1,103,142,128,79
KDM2B,40,59,92,75,14,97,70,44,72
KDM3A,31,93,105,124,70,147,133,119,103
KDM3B,31,93,110,117,40,149,18,121,103
KDM4A,22,96,120,113,70,108,135,119,101
KDM4A-AS1,50,44,92,41,42,20,10,93,73
KDM4B,30,95,122,112,42,107,135,121,103
KDM4C,111,108,101,38,39,20,114,132,121
KDM4D,50,92,103,120,39,148,140,132,123
KDM5A,42,54,98,72,16,113,67,49,79
KDM5B,42,54,99,72,16,114,137,48,63
KDM5C,42,54,99,77,27,111,137,46,63
KDM5D,44,96,99,113,68,130,138,121,80
KDM6A,40,59,92,75,14,97,70,45,72
KDM6B,30,94,103,114,42,107,133,122,124
KDM7A,57,28,116,130,41,144,61,74,139
KDM8,76,31,82,59,79,34,44,77,15
KDR,76,6,38,109,75,45,54,124,42
KDSR,10,109,10,12,113,81,127,25,89
KEAP1,51,17,124,68,64,109,86,61,97
KEL,113,83,38,103,133,62,117,9,6
KERA,108,33,83,105,84,51,44,14,2
KHDC1,19,5,67,134,65,143,35,60,95
KHDC4,19,36,126,23,61,141,3,63,101
KHDRBS1,46,63,102,72,3,103,67,41,75
KHDRBS2,46,72,104,41,3,106,142,41,78
KHDRBS3,44,71,99,72,67,112,138,121,79
KHK,69,41,78,88,91,19,43,112,143
KHNYN,82,44,76,29,99,2,11,78,146
KHSRP,47,64,102,45,7,104,78,42,32
KIAA0040,26,14,55,66,64,126,30,66,99
KIAA0087,63,27,86,27,92,17,41,138,136
KIAA0100,63,49,78,21,52,136,32,114,143
KIAA0232,27,5,66,68,65,125,90,66,99
KIAA0319,35,8,90,19,55,16,27,135,47
KIAA0319L,7,116,9,15,111,87,132,23,90
KIAA0408,17,70,1,69,25,115,72,68,64
KIAA0513,54,26,126,58,59,140,85,122,107
KIAA0586,20,17,126,91,66,129,82,54,98
KIAA0753,14,56,2,77,19,118,146,37,62
KIAA0754,100,79,35,133,129,67,111,2,39
KIAA0825,56,51,60,30,50,8,43,111,113
KIAA0895,64,48,82,105,51,19,52,141,136
KIAA0895L,57,41,105,129,59,17,34,58,81
KIAA0930,52,50,91,21,53,15,28,56,128
KIAA1109,91,87,23,133,125,61,105,8,41
KIAA1143,50,72,104,41,3,106,142,128,76
KIAA1191,84,43,50,62,96,6,24,96,27
KIAA1210,95,125,81,102,97,39,26,84,
KIAA1217,35,15,88,92,63,122,80,66,99
KIAA1328,18,58,58,71,22,117,73,67,67
KIAA1522,78,1,44,87,80,136,63,110,11
KIAA1549,8,124,16,10,117,72,122,34,59
KIAA1549L,74,27,127,129,59,139,61,137,106
KIAA1586,115,87,23,106,129,67,117,11,38
KIAA1614,70,93,70,37,35,33,4,74,126
KIAA1671,28,70,124,71,24,116,73,62,68
KIAA1958,20,17,55,134,24,128,28,54,100
KIAA2012,26,71,121,126,43,147,22,132,123
KIAA2013,7,111,8,6,107,82,149,25,88
KIAA2026,64,37,71,83,50,138,31,113,93
KICS2,34,51,88,21,54,136,88,50,94
KIDINS220,9,117,11,6,114,89,132,21,90
KIF11,50,72,103,42,3,106,142,41,75
KIF12,84,43,70,36,44,30,12,82,25
KIF13A,76,49,84,87,86,17,63,141,12
KIF13B,15,55,24,79,20,119,146,71,61
KIF14,4,65,31,53,104,95,77,106,30
KIF15,54,36,119,22,56,146,93,58,107
KIF16B,100,74,21,133,124,42,113,13,40
KIF17,52,51,79,85,53,50,32,139,133
KIF18A,61,27,119,58,60,149,61,117,105
KIF18B,29,73,106,113,70,107,135,121,83
KIF19,36,51,88,58,53,16,92,55,129
KIF1A,36,14,90,94,63,122,79,66,99
KIF1B,19,69,53,68,63,123,73,65,68
KIF1C,26,70,54,69,23,124,145,69,67
