Symbol,lung_tsne2d_hier_clust,brain_tsne2d_hier_clust,pbmc_tsne2d_hier_clust,liver_tsne2d_hier_clust,colon_tsne2d_hier_clust,gut_tsne2d_hier_clust,heart_tsne2d_hier_clust,kidney_tsne2d_hier_clust,retina_tsne2d_hier_clust
CMTR2,111,92,103,42,39,148,140,132,121
CMYA5,67,102,70,25,33,29,21,103,112
CNBP,4,11,7,48,10,94,99,106,35
CNDP1,101,84,23,137,125,65,107,11,45
CNDP2,89,105,48,136,97,30,20,97,20
CNEP1R1,79,45,82,59,100,5,48,79,18
CNFN,18,13,57,81,17,122,79,72,71
CNGA1,49,96,123,59,50,20,85,67,34
CNGA3,120,74,25,101,135,41,103,13,40
CNGA4,120,74,21,106,135,42,105,12,43
CNGB1,30,62,109,114,38,93,22,105,36
CNGB3,37,18,78,19,86,28,41,70,142
CNIH1,9,117,14,7,112,86,130,20,84
CNIH2,115,76,42,97,78,64,106,8,38
CNIH3,8,121,17,10,116,82,121,21,84
CNIH4,99,81,33,137,120,64,107,7,45
CNKSR1,36,3,88,71,46,142,79,51,125
CNKSR2,63,17,55,21,53,141,90,115,134
CNKSR3,32,17,89,89,63,126,71,54,100
CNMD,108,20,25,133,134,45,55,139,9
CNN1,52,51,82,19,52,16,26,50,135
CNN2,81,104,68,62,96,4,13,98,25
CNN3,81,104,69,62,96,31,13,100,25
CNNM1,6,111,9,15,109,80,131,23,87
CNNM2,103,77,36,31,123,76,110,1,55
CNNM3,3,124,13,5,110,88,122,36,53
CNNM4,9,121,12,5,114,83,121,21,86
CNOT1,43,54,95,76,15,98,68,40,78
CNOT10,42,54,98,76,16,98,69,49,77
CNOT11,42,54,98,77,16,110,66,49,79
CNOT2,42,53,98,76,16,110,69,46,77
CNOT3,39,60,95,75,16,98,68,44,73
CNOT4,29,73,107,74,67,112,137,121,83
CNOT6,44,71,105,77,67,113,137,49,81
CNOT6L,42,54,98,77,16,110,67,49,77
CNOT7,42,54,98,75,16,110,69,46,77
CNOT8,44,71,107,77,67,113,67,49,79
CNOT9,42,53,98,76,16,110,69,46,77
CNP,93,81,32,137,120,60,116,6,45
CNPPD1,97,33,52,32,74,34,45,87,4
CNPY2,116,83,45,33,73,65,58,9,6
CNPY3,3,116,9,14,111,87,129,19,91
CNPY4,3,74,21,96,123,41,105,34,55
CNR1,79,23,82,91,80,17,52,87,11
CNR2,11,126,15,13,112,85,128,29,84
CNRIP1,69,39,86,23,92,48,4,51,137
CNST,77,21,83,87,81,55,50,139,11
CNTD1,27,46,24,88,53,48,30,125,46
CNTF,36,3,89,93,55,138,41,52,128
CNTFR,34,6,46,109,49,46,59,59,11
CNTLN,56,24,66,22,62,146,31,55,93
CNTN1,118,74,43,95,135,45,56,13,43
CNTN2,52,50,64,21,92,48,40,140,135
CNTN4,19,71,108,116,44,24,22,94,97
CNTN5,14,63,100,26,60,110,136,45,79
CNTN6,49,57,84,105,85,142,84,2,89
CNTNAP1,9,118,16,5,117,84,124,28,86
CNTNAP2,77,49,78,85,85,48,27,139,135
CNTNAP3,6,111,8,11,108,79,148,22,87
CNTNAP3B,3,110,9,11,109,80,132,19,91
CNTNAP4,60,97,70,37,44,28,21,94,109
CNTNAP5,23,70,128,115,30,21,87,117,83
CNTRL,51,16,53,18,63,108,71,63,70
CNTROB,28,70,56,74,24,116,72,62,64
COA1,104,127,32,137,128,63,107,4,45
COA3,87,113,31,55,103,134,94,126,52
COA4,85,80,29,54,106,58,139,6,50
COA5,16,2,86,103,45,49,47,70,12
COA6,92,91,29,40,85,37,120,97,22
COA7,98,80,29,54,106,58,139,6,50
COA8,65,100,70,32,43,31,9,111,145
COASY,65,30,51,59,81,19,11,110,14
COBL,79,52,52,109,79,19,41,81,14
COBLL1,52,2,86,111,47,48,27,139,127
COCH,3,119,17,5,110,83,124,19,58
COG1,102,125,19,133,118,76,123,27,55
COG2,105,79,36,95,121,75,111,33,53
